content,query,date,hashtag
Hagannah 1920. (Hezbollah founded 1985 to counter zionist TERROR and massacres) Hagannah - idf a 100 years of TERROR,Zionist,2020-06-18 23:13:30+00:00,[]
"Syria is controlled by zionists long time ago, caesar act is only another episode of the coming invasion of syria Yet the traitor in Damascus is the murderer who allowed all of this to become a reality, he helped this invasion by killing 1 million and displacing 13 millions",Zionist,2020-06-18 23:12:16+00:00,[]
"Western to be honest deceived me... Their real agenda is to disarm the resistance to put our country under zionist domination through the usa... Even If I'm not religious at all, it seems the eastern options will help us at least to keep our dignity.",Zionist,2020-06-18 23:11:39+00:00,[]
"The fact that this racist drivel comes from one of the more ""leftist"" wings of the zionist movement should leave not doubts about what zionism as a whole has always been about",Zionist,2020-06-18 23:11:19+00:00,[]
"crises actor, what a carefully manufactured media persona, crypto zionist i reckon",Zionist,2020-06-18 23:10:58+00:00,[]
"Oliver Kamm, a neocon, Zionist rushing to defend a fellow neocon Zionist friend in distress. Putin maybe a lot of things but he is a better man than you and Bolton will ever be. At least he fights his own wars unlike your chicken hawks. Your risible book",Zionist,2020-06-18 23:10:45+00:00,[]
's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,Zionist,2020-06-18 23:09:41+00:00,[]
PROPHET MUHAMMED WARNED ALL MAN KIND HE SAID IN THE END TIMES WORLD WILL DIVIDE IN 2 GROUPS ONE GROUP WILL BE ON RIGHT PATH MEANING PATH OF HOLY JESUS CHRIST AND OUR CREATOR ...ALLAH 2ND GROUP WILL B RIGHT EVIL AND WILL B WITH DEVIL ANTI CHRIST 100% ZIONISTS,Zionist,2020-06-18 23:09:00+00:00,[]
YOU get out of and go BACK to or wherever garbage can you came from! This is OUR homeland and you came seeking refuge and then STABBED us in the back! Get lost !,Zionist,2020-06-18 23:08:22+00:00,"['Palestine', 'yiddish', 'khazaria', 'askhkenazi', 'zionist']"
"Hey, as Jessica says, not all Jewish people are Zionist, please do not generalise.",Zionist,2020-07-05 23:59:41+00:00,[]
The Zionists introduced modern Terrorism to the world,Zionist,2020-07-05 23:56:15+00:00,[]
No you won't because he'll be Jewish and you would try to kill him for being a Jewish man who is a Zionist,Zionist,2020-07-05 23:55:07+00:00,[]
Yes lots of Jewish people self ID as zionist but in itself doesn't necessarily tell you what their stance on contemporary Israeli politics are. Conflating zionist with Jew is antisemitic but so is defining zionism strictly in terms of modern-day Israel.,Zionist,2020-07-05 23:54:22+00:00,[]
